"Plot Title: QuestU_Remote_Weather_Station pre c-ston"
"#","Date Time, GMT-07:00","Rain, mm (LGR S/N: 10666706, SEN S/N: 10573345, LBL: Rain)","Temp, °C (LGR S/N: 10666706, SEN S/N: 10658214, LBL: Temp)","RH, % (LGR S/N: 10666706, SEN S/N: 10658214, LBL: RH)","Wind Direction, ø (LGR S/N: 10666706, SEN S/N: 10663457, LBL: Wind Direct.)","Wind Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Wind Speed)","Gust Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Gusts)"
119,09/24/15 02:34:59  PM,0.20,12.485,100.000,355.2,0.00,1.01
120,09/24/15 02:49:59  PM,0.40,12.558,100.000,342.6,0.00,0.50
121,09/24/15 03:04:59  PM,0.40,12.582,100.000,308.9,0.00,1.76
122,09/24/15 03:19:59  PM,0.40,12.847,100.000,278.0,0.00,1.01
123,09/24/15 03:34:59  PM,0.20,13.112,100.000,200.8,0.00,1.01
124,09/24/15 03:49:59  PM,0.40,13.088,100.000,303.2,0.00,0.00
125,09/24/15 04:04:59  PM,0.20,12.968,100.000,303.2,0.00,0.00
126,09/24/15 04:19:59  PM,0.60,12.751,99.900,244.3,0.00,0.00
127,09/24/15 04:34:59  PM,1.00,12.606,100.000,235.9,0.00,0.00
128,09/24/15 04:49:59  PM,1.00,12.558,100.000,213.4,0.00,0.00
129,09/24/15 05:04:59  PM,1.00,12.461,100.000,220.4,0.00,0.00
130,09/24/15 05:19:59  PM,1.00,12.413,100.000,198.0,0.00,1.01
131,09/24/15 05:34:59  PM,0.60,12.389,100.000,169.9,0.00,0.00
132,09/24/15 05:49:59  PM,0.60,12.292,100.000,161.5,0.00,0.50
133,09/24/15 06:04:59  PM,1.00,12.147,100.000,99.7,0.00,0.50
134,09/24/15 06:19:59  PM,0.80,12.195,100.000,96.9,0.00,0.00
135,09/24/15 06:34:59  PM,0.60,12.147,100.000,96.9,0.00,0.00
136,09/24/15 06:49:59  PM,0.60,12.171,100.000,94.1,0.00,0.00
137,09/24/15 07:04:59  PM,0.60,12.098,100.000,88.4,0.00,0.00
138,09/24/15 07:19:59  PM,0.60,12.098,100.000,88.4,0.00,0.00
139,09/24/15 07:34:59  PM,0.80,11.953,100.000,68.8,0.00,0.00
140,09/24/15 07:49:59  PM,0.80,11.977,100.000,53.3,0.00,0.00
141,09/24/15 08:04:59  PM,0.80,11.904,100.000,53.3,0.00,0.00
142,09/24/15 08:19:59  PM,1.00,11.904,100.000,53.3,0.00,0.00
143,09/24/15 08:34:59  PM,0.60,11.929,100.000,53.3,0.00,0.00
144,09/24/15 08:49:59  PM,0.60,11.880,100.000,53.3,0.00,0.00
145,09/24/15 09:04:59  PM,1.20,11.904,100.000,53.3,0.00,0.00
146,09/24/15 09:19:59  PM,2.00,11.880,100.000,53.3,0.00,0.00
147,09/24/15 09:34:59  PM,2.00,11.807,100.000,344.0,0.25,1.76
148,09/24/15 09:49:59  PM,1.00,11.759,100.000,335.5,0.00,1.26
149,09/24/15 10:04:59  PM,2.00,11.589,100.000,335.5,0.00,0.00
150,09/24/15 10:19:59  PM,0.80,11.565,100.000,335.5,0.00,0.00
151,09/24/15 10:34:59  PM,1.00,11.565,100.000,331.3,0.00,0.00
152,09/24/15 10:49:59  PM,0.60,11.637,100.000,331.3,0.00,0.00
153,09/24/15 11:04:59  PM,0.40,11.540,100.000,331.3,0.00,0.00
154,09/24/15 11:19:59  PM,0.20,11.443,100.000,331.3,0.00,0.00
155,09/24/15 11:34:59  PM,0.20,11.516,100.000,68.8,0.00,1.01
156,09/24/15 11:49:59  PM,0.20,11.467,100.000,106.7,0.00,0.00
157,09/25/15 12:04:59  AM,0.40,11.370,100.000,106.7,0.00,0.00
158,09/25/15 12:19:59  AM,0.20,11.394,100.000,106.7,0.00,0.00
159,09/25/15 12:34:59  AM,0.20,11.297,100.000,106.7,0.00,0.00
160,09/25/15 12:49:59  AM,0.00,11.200,100.000,106.7,0.00,0.00
161,09/25/15 01:04:59  AM,0.20,11.200,100.000,106.7,0.00,0.00
162,09/25/15 01:19:59  AM,0.00,11.151,100.000,206.4,0.00,0.00
163,09/25/15 01:34:59  AM,0.20,11.029,100.000,216.2,0.00,0.00
164,09/25/15 01:49:59  AM,0.20,11.078,100.000,216.2,0.00,0.00
165,09/25/15 02:04:59  AM,0.20,10.907,100.000,216.2,0.00,0.00
166,09/25/15 02:19:59  AM,0.40,10.785,100.000,216.2,0.00,0.00
167,09/25/15 02:34:59  AM,0.20,10.687,100.000,210.6,0.00,0.50
168,09/25/15 02:49:59  AM,0.00,10.687,100.000,171.3,0.00,1.01
169,09/25/15 03:04:59  AM,0.00,10.687,100.000,105.3,0.00,1.76
170,09/25/15 03:19:59  AM,0.00,10.516,100.000,94.1,0.00,0.00
171,09/25/15 03:34:59  AM,0.00,10.492,100.000,200.8,0.00,0.25
172,09/25/15 03:49:59  AM,0.00,10.296,100.000,234.5,0.00,0.00
173,09/25/15 04:04:59  AM,0.00,10.247,100.000,234.5,0.00,0.00
174,09/25/15 04:19:59  AM,0.00,10.075,100.000,234.5,0.00,0.00
175,09/25/15 04:34:59  AM,0.00,10.001,100.000,234.5,0.00,0.00
176,09/25/15 04:49:59  AM,0.00,9.903,100.000,234.5,0.00,0.00
177,09/25/15 05:04:59  AM,0.00,9.903,100.000,202.2,0.00,0.00
178,09/25/15 05:19:59  AM,0.00,9.780,100.000,162.9,0.00,0.00
179,09/25/15 05:34:59  AM,0.00,9.682,100.000,164.3,0.00,0.00
180,09/25/15 05:49:59  AM,0.00,9.583,100.000,169.9,0.00,0.00
181,09/25/15 06:04:59  AM,0.00,9.534,100.000,169.9,0.00,0.00
182,09/25/15 06:19:59  AM,0.00,9.435,100.000,169.9,0.00,0.00
183,09/25/15 06:34:59  AM,0.20,9.361,100.000,169.9,0.00,0.00
184,09/25/15 06:49:59  AM,0.00,9.312,100.000,169.9,0.00,0.00
185,09/25/15 07:04:59  AM,0.00,9.188,100.000,169.9,0.00,0.00
186,09/25/15 07:19:59  AM,0.00,9.238,100.000,169.9,0.00,0.00
187,09/25/15 07:34:59  AM,0.00,9.188,100.000,169.9,0.00,0.00
188,09/25/15 07:49:59  AM,0.00,9.287,100.000,169.9,0.00,0.00
189,09/25/15 08:04:59  AM,0.00,9.460,100.000,169.9,0.00,0.00
190,09/25/15 08:19:59  AM,0.00,9.632,100.000,169.9,0.00,0.00
191,09/25/15 08:34:59  AM,0.00,9.780,100.000,169.9,0.00,0.00
192,09/25/15 08:49:59  AM,0.00,9.952,100.000,169.9,0.00,0.00
193,09/25/15 09:04:59  AM,0.00,10.296,100.000,169.9,0.00,0.00
194,09/25/15 09:19:59  AM,0.00,10.638,100.000,169.9,0.00,0.00
195,09/25/15 09:34:59  AM,0.00,10.785,100.000,171.3,0.00,0.00
196,09/25/15 09:49:59  AM,0.00,11.127,99.100,206.4,0.00,0.00
197,09/25/15 10:04:59  AM,0.00,11.394,98.400,221.8,0.00,0.00
198,09/25/15 10:19:59  AM,0.00,11.783,97.100,221.8,0.00,0.25
199,09/25/15 10:34:59  AM,0.00,11.613,97.900,286.4,0.00,1.26
200,09/25/15 10:49:59  AM,0.00,11.977,97.100,329.9,0.00,0.50
201,09/25/15 11:04:59  AM,0.00,12.171,97.200,329.9,0.00,1.01
202,09/25/15 11:19:59  AM,0.00,12.195,97.000,332.7,0.00,1.26
203,09/25/15 11:34:59  AM,0.00,12.122,97.400,321.5,0.00,1.26
204,09/25/15 11:49:59  AM,0.00,12.799,93.700,320.1,0.00,0.00
205,09/25/15 12:04:59  PM,0.00,12.775,96.000,325.7,0.00,1.51
206,09/25/15 12:19:59  PM,0.00,13.401,92.200,314.5,0.00,1.01
207,09/25/15 12:34:59  PM,0.00,13.834,90.200,327.1,0.00,1.51
208,09/25/15 12:49:59  PM,0.00,13.714,87.500,339.7,0.00,1.01
209,09/25/15 01:04:59  PM,0.00,13.882,84.300,338.3,0.00,1.76
210,09/25/15 01:19:59  PM,0.00,14.194,84.200,334.1,0.00,0.76
211,09/25/15 01:34:59  PM,0.00,14.529,83.700,321.5,0.00,1.26
212,09/25/15 01:49:59  PM,0.00,14.553,82.400,320.1,0.00,1.76
213,09/25/15 02:04:59  PM,0.00,15.079,79.900,341.2,0.00,1.01
214,09/25/15 02:19:59  PM,0.00,15.103,78.700,294.8,0.00,1.01
215,09/25/15 02:34:59  PM,0.00,16.058,75.200,8.4,0.25,2.01
216,09/25/15 02:49:59  PM,0.00,15.652,76.600,331.3,0.50,2.52
217,09/25/15 03:04:59  PM,0.00,16.320,74.500,42.1,0.25,1.51
